date,url,year,house
1988-02-16,,1988,hofreps
1988-02-17,,1988,hofreps
1988-02-18,,1988,hofreps
1988-02-22,,1988,hofreps
1988-02-23,,1988,hofreps
1988-02-24,,1988,hofreps
1988-02-25,,1988,hofreps
1988-03-15,,1988,hofreps
1988-03-16,,1988,hofreps
1988-03-17,,1988,hofreps
1988-03-22,,1988,hofreps
1988-03-23,,1988,hofreps
1988-03-24,,1988,hofreps
1988-04-12,,1988,hofreps
1988-04-13,,1988,hofreps
1988-04-14,,1988,hofreps
1988-04-18,,1988,hofreps
1988-04-19,,1988,hofreps
1988-04-20,,1988,hofreps
1988-04-21,,1988,hofreps
1988-04-26,,1988,hofreps
1988-04-27,,1988,hofreps
1988-04-28,,1988,hofreps
1988-05-10,,1988,hofreps
1988-05-17,,1988,hofreps
1988-05-18,,1988,hofreps
1988-05-19,,1988,hofreps
1988-05-23,,1988,hofreps
1988-05-24,,1988,hofreps
1988-05-25,,1988,hofreps
1988-05-26,,1988,hofreps
1988-06-03,,1988,hofreps
1988-08-22,,1988,hofreps
1988-08-23,,1988,hofreps
1988-08-24,,1988,hofreps
1988-08-25,,1988,hofreps
1988-08-29,,1988,hofreps
1988-08-30,,1988,hofreps
1988-08-31,,1988,hofreps
1988-09-01,,1988,hofreps
1988-09-27,,1988,hofreps
1988-09-28,,1988,hofreps
1988-09-29,,1988,hofreps
1988-10-11,,1988,hofreps
1988-10-12,,1988,hofreps
1988-10-13,,1988,hofreps
1988-10-17,,1988,hofreps
1988-10-18,,1988,hofreps
1988-10-19,,1988,hofreps
1988-10-20,,1988,hofreps
1988-11-01,,1988,hofreps
1988-11-02,,1988,hofreps
1988-11-03,,1988,hofreps
1988-11-07,,1988,hofreps
1988-11-08,,1988,hofreps
1988-11-09,,1988,hofreps
1988-11-10,,1988,hofreps
1988-11-22,,1988,hofreps
1988-11-23,,1988,hofreps
1988-11-24,,1988,hofreps
1988-11-28,,1988,hofreps
1988-11-29,,1988,hofreps
1988-11-30,,1988,hofreps
1988-12-01,,1988,hofreps
1988-12-21,,1988,hofreps
1989-02-28,,1989,hofreps
1989-03-01,,1989,hofreps
1989-03-02,,1989,hofreps
1989-03-06,,1989,hofreps
1989-03-07,,1989,hofreps
1989-03-08,,1989,hofreps
1989-03-09,,1989,hofreps
1989-04-04,,1989,hofreps
1989-04-05,,1989,hofreps
1989-04-06,,1989,hofreps
1989-04-10,,1989,hofreps
1989-04-11,,1989,hofreps
1989-04-12,,1989,hofreps
1989-04-13,,1989,hofreps
1989-05-02,,1989,hofreps
1989-05-03,,1989,hofreps
1989-05-04,,1989,hofreps
1989-05-08,,1989,hofreps
1989-05-09,,1989,hofreps
1989-05-10,,1989,hofreps
1989-05-11,,1989,hofreps
1989-05-23,,1989,hofreps
1989-05-24,,1989,hofreps
1989-05-25,,1989,hofreps
1989-05-29,,1989,hofreps
1989-05-30,,1989,hofreps
1989-05-31,,1989,hofreps
1989-06-01,,1989,hofreps
1989-06-15,,1989,hofreps
1989-06-16,,1989,hofreps
1989-08-15,,1989,hofreps
1989-08-16,,1989,hofreps
1989-08-17,,1989,hofreps
1989-08-29,,1989,hofreps
1989-08-30,,1989,hofreps
1989-08-31,,1989,hofreps
1989-09-04,,1989,hofreps
1989-09-05,,1989,hofreps
1989-09-06,,1989,hofreps
1989-09-07,,1989,hofreps
1989-10-03,,1989,hofreps
1989-10-04,,1989,hofreps
1989-10-05,,1989,hofreps
1989-10-24,,1989,hofreps
1989-10-25,,1989,hofreps
1989-10-26,,1989,hofreps
1989-10-30,,1989,hofreps
1989-10-31,,1989,hofreps
1989-11-01,,1989,hofreps
1989-11-02,,1989,hofreps
1989-11-21,,1989,hofreps
1989-11-22,,1989,hofreps
1989-11-23,,1989,hofreps
1989-11-27,,1989,hofreps
1989-11-28,,1989,hofreps
1989-11-29,,1989,hofreps
1989-11-30,,1989,hofreps
1989-12-21,,1989,hofreps
1989-12-22,,1989,hofreps
1990-05-08,,1990,hofreps
1990-05-09,,1990,hofreps
1990-05-10,,1990,hofreps
1990-05-14,,1990,hofreps
1990-05-15,,1990,hofreps
1990-05-16,,1990,hofreps
1990-05-17,,1990,hofreps
1990-05-31,,1990,hofreps
1990-06-01,,1990,hofreps
1990-08-21,,1990,hofreps
1990-08-22,,1990,hofreps
1990-08-23,,1990,hofreps
1990-09-11,,1990,hofreps
1990-09-12,,1990,hofreps
1990-09-13,,1990,hofreps
1990-09-17,,1990,hofreps
1990-09-18,,1990,hofreps
1990-09-19,,1990,hofreps
1990-09-20,,1990,hofreps
1990-10-09,,1990,hofreps
1990-10-10,,1990,hofreps
1990-10-11,,1990,hofreps
1990-10-15,,1990,hofreps
1990-10-16,,1990,hofreps
1990-10-17,,1990,hofreps
1990-10-18,,1990,hofreps
1990-11-06,,1990,hofreps
1990-11-07,,1990,hofreps
1990-11-08,,1990,hofreps
1990-11-12,,1990,hofreps
1990-11-13,,1990,hofreps
1990-11-14,,1990,hofreps
1990-11-15,,1990,hofreps
1990-12-04,,1990,hofreps
1990-12-05,,1990,hofreps
1990-12-06,,1990,hofreps
1990-12-20,,1990,hofreps
1990-12-21,,1990,hofreps
1991-01-21,,1991,hofreps
1991-01-22,,1991,hofreps
1991-02-12,,1991,hofreps
1991-02-13,,1991,hofreps
1991-02-14,,1991,hofreps
1991-02-18,,1991,hofreps
1991-02-19,,1991,hofreps
1991-02-20,,1991,hofreps
1991-02-21,,1991,hofreps
1991-03-05,,1991,hofreps
1991-03-06,,1991,hofreps
1991-03-07,,1991,hofreps
1991-03-11,,1991,hofreps
1991-03-12,,1991,hofreps
1991-03-13,,1991,hofreps
1991-03-14,,1991,hofreps
1991-04-09,,1991,hofreps
1991-04-10,,1991,hofreps
1991-04-11,,1991,hofreps
1991-04-15,,1991,hofreps
1991-04-16,,1991,hofreps
1991-04-17,,1991,hofreps
1991-04-18,,1991,hofreps
1991-05-07,,1991,hofreps
1991-05-08,,1991,hofreps
1991-05-09,,1991,hofreps
1991-05-14,,1991,hofreps
1991-05-15,,1991,hofreps
1991-05-16,,1991,hofreps
1991-05-28,,1991,hofreps
1991-05-29,,1991,hofreps
1991-05-30,,1991,hofreps
1991-06-03,,1991,hofreps
1991-06-04,,1991,hofreps
1991-06-05,,1991,hofreps
1991-06-06,,1991,hofreps
1991-06-20,,1991,hofreps
1991-06-21,,1991,hofreps
1991-08-20,,1991,hofreps
1991-08-21,,1991,hofreps
1991-08-22,,1991,hofreps
1991-09-03,,1991,hofreps
1991-09-04,,1991,hofreps
1991-09-05,,1991,hofreps
1991-09-09,,1991,hofreps
1991-09-10,,1991,hofreps
1991-09-11,,1991,hofreps
1991-09-12,,1991,hofreps
1991-10-08,,1991,hofreps
1991-10-09,,1991,hofreps
1991-10-10,,1991,hofreps
1991-10-14,,1991,hofreps
1991-10-15,,1991,hofreps
1991-10-16,,1991,hofreps
1991-10-17,,1991,hofreps
1991-11-05,,1991,hofreps
1991-11-06,,1991,hofreps
1991-11-07,,1991,hofreps
1991-11-11,,1991,hofreps
1991-11-12,,1991,hofreps
1991-11-13,,1991,hofreps
1991-11-14,,1991,hofreps
